Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,BusInvolvement,"RigidTruck 
Involvement","Articulated Truck 
Involvement ",SpeedLimit,RoadUser,Gender,Age
5.2016E+12,WA,16-Feb-16,16,February,2016,Tuesday,18:15,18,15,Single vehicle,No,No,No,110,Motorcycle rider,Male,48
5.2016E+12,WA,16-Feb-16,16,February,2016,Tuesday,12:00,12,0,Multiple vehicle,No,No,No,50,Pedestrian,Female,69
1.2016E+12,NSW,18-Feb-16,18,February,2016,Thursday,19:00,19,0,Single vehicle,No,No,No,70,Motorcycle rider,Male,45
1.2016E+12,NSW,18-Feb-16,18,February,2016,Thursday,9:55,9,55,Pedestrian,No,No,No,50,Pedestrian,Female,86
2.2016E+12,VIC,18-Feb-16,18,February,2016,Thursday,20:00,20,0,Single vehicle,No,No,No,80,Driver,Male,18
3.2016E+12,QLD,18-Feb-16,18,February,2016,Thursday,14:00,14,0,Multiple vehicle,No,No,Yes,100,Passenger,Female,89
7.2016E+12,NT,18-Feb-16,18,February,2016,Thursday,17:00,17,0,Single vehicle,No,No,No,110,Driver,Male,24
1.2016E+12,NSW,19-Feb-16,19,February,2016,Friday,17:34,17,34,Pedestrian,No,No,No,50,Pedestrian,Male,67
1.2016E+12,NSW,19-Feb-16,19,February,2016,Friday,19:25,19,25,Multiple vehicle,No,No,Yes,100,Driver,Male,18
5.2016E+12,WA,19-Feb-16,19,February,2016,Friday,22:10,22,10,Single vehicle,No,No,No,110,Passenger,Male,25
5.2016E+12,WA,19-Feb-16,19,February,2016,Friday,22:10,22,10,Single vehicle,No,No,No,110,Passenger,Male,24
1.2016E+12,NSW,20-Feb-16,20,February,2016,Saturday,1:11,1,11,Single vehicle,No,No,No,50,Passenger,Female,36
1.2016E+12,NSW,20-Feb-16,20,February,2016,Saturday,1:11,1,11,Single vehicle,No,No,No,50,Passenger,Female,37
1.2016E+12,NSW,20-Feb-16,20,February,2016,Saturday,1:11,1,11,Single vehicle,No,No,No,50,Passenger,Female,36
1.2016E+12,NSW,20-Feb-16,20,February,2016,Saturday,5:30,5,30,Single vehicle,No,No,No,80,Driver,Male,24
1.2016E+12,NSW,20-Feb-16,20,February,2016,Saturday,9:40,9,40,Single vehicle,No,No,No,50,Motorcycle pillion passenger,Female,31
1.2016E+12,NSW,20-Feb-16,20,February,2016,Saturday,17:49,17,49,Single vehicle,No,No,No,80,Driver,Female,82
2.2016E+12,VIC,20-Feb-16,20,February,2016,Saturday,21:30,21,30,Single vehicle,No,No,No,-9,Driver,Male,53
3.2016E+12,QLD,20-Feb-16,20,February,2016,Saturday,23:00,23,0,Pedestrian,No,No,No,60,Pedestrian,Male,47
5.2016E+12,WA,20-Feb-16,20,February,2016,Saturday,13:26,13,26,Single vehicle,No,No,No,110,Motorcycle rider,Male,51
1.2016E+12,NSW,21-Feb-16,21,February,2016,Sunday,11:05,11,5,Multiple vehicle,No,No,No,50,Driver,Female,72
